"amount","project_number","report_fy","budget_cycle","fund_type","fund_number","asset_owning_dept","project_name","account","account_number"
"4427819","ABT00001","24","proposed","Infrastructure Fund","C100012","General Services","City Facilities Improvements","Undistributed Budget","512117"
"1379879","ACA00001","24","proposed","Infrastructure Fund","C100012","Stormwater","Drainage Projects","Undistributed Budget","512117"
"6175716","AGF00007","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Park Improvements","Undistributed Budget","512117"
"4064805","AID00005","24","proposed","Infrastructure Fund","C100012","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"200000","AIE00002","24","proposed","Infrastructure Fund","C100012","Transportation","Guard Rails","Undistributed Budget","512117"
"532897","S10051","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Olive St Park Acquisition and Development","Undistributed Budget","512117"
"709172","S15040","24","proposed","Infrastructure Fund","C100012","Parks & Recreation","Golf Course Drive Improvements","Undistributed Budget","512117"
"2500000","S19005","24","proposed","Infrastructure Fund","C100012","Transportation","City Heights Sidewalks and Streetlights","Undistributed Budget","512117"
"4742656","AID00005","24","proposed","Gas Tax Fund","C200118","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"2000000","AID00005","24","proposed","Trench Cut/Excavation Fee Fund","C200203","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"12869721","AGF00004","24","proposed","Mission Bay Park Improvement Fund","C200386","Parks & Recreation","Mission Bay Improvements","Undistributed Budget","512117"
"100000","AGE00001","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Resource-Based Open Space Parks","Undistributed Budget","512117"
"700000","AGF00006","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Coastal Erosion and Access","Undistributed Budget","512117"
"1141027","L14005","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Sunset Cliffs Park Drainage Improvements","Undistributed Budget","512117"
"908973","S13008","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Mohnike Adobe and Barn Restoration","Undistributed Budget","512117"
"479850","S15034","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Junipero Serra Museum ADA Improvements","Undistributed Budget","512117"
"3000000","S20005","24","proposed","San Diego Regional Parks Improvement Fund","C200391","Parks & Recreation","Balboa Park Botanical Bldg Improvements","Undistributed Budget","512117"
"510857","S00880","24","proposed","Facilities Benefit Assessments","C400080","Transportation","Miramar Road-I-805 Easterly Ramps","Undistributed Budget","512117"
"1345161","RD21004","24","proposed","Facilities Benefit Assessments","C400083","Transportation","Camino Del Sur Widening - South","Undistributed Budget","512117"
"2000000","S16035","24","proposed","Facilities Benefit Assessments","C400088","Parks & Recreation","Sage Canyon Concession Bldg-Development","Undistributed Budget","512117"
"812554","RD22000","24","proposed","Facilities Benefit Assessments","C400090","Parks & Recreation","McGonigle Canyon NP P-2","Undistributed Budget","512117"
"14997804","S00856","24","proposed","Facilities Benefit Assessments","C400090","Transportation","El Camino Real to ViaDeLaValle (1/2 mile)","Undistributed Budget","512117"
"500000","S15045","24","proposed","Development Impact Fees","C400122","Transportation","Park Boulevard At-Grade Crossing","Undistributed Budget","512117"
"3900000","S16012","24","proposed","Development Impact Fees","C400122","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"10110851","AID00005","24","proposed","TransNet Funds","C400169","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"583000","AIK00001","24","proposed","TransNet Funds","C400169","Transportation","New Walkways","Undistributed Budget","512117"
"216000","AIL00001","24","proposed","TransNet Funds","C400169","Transportation","Traffic Calming","Undistributed Budget","512117"
"846000","AIL00002","24","proposed","TransNet Funds","C400169","Transportation","Install T/S Interconnect Systems","Undistributed Budget","512117"
"2926400","AIL00004","24","proposed","TransNet Funds","C400169","Transportation","Traffic Signals - Citywide","Undistributed Budget","512117"
"487374","AIL00005","24","proposed","TransNet Funds","C400169","Transportation","Traffic Signals Modification","Undistributed Budget","512117"
"9700000","S00951","24","proposed","TransNet Funds","C400169","Transportation","Coastal Rail Trail","Undistributed Budget","512117"
"2455000","S22012","24","proposed","TransNet Funds","C400169","Transportation","Normal Street Promenade","Undistributed Budget","512117"
"1918631","ACC00001","24","proposed","Fleet Services Internal Service Fund","C400676","Stormwater","Watershed CIP","Undistributed Budget","512117"
"110000","L14002","24","proposed","Fleet Services Internal Service Fund","C400676","General Services","Fleet Operations Facilities","Undistributed Budget","512117"
"2000000","S00880","24","proposed","Development Impact Fees","C400849","Transportation","Miramar Road-I-805 Easterly Ramps","Undistributed Budget","512117"
"775291","S16012","24","proposed","Other Funding","C400850","Parks & Recreation","East Village Green Phase 1","Undistributed Budget","512117"
"500000","S16013","24","proposed","Other Funding","C400850","Parks & Recreation","Children's Park Improvements","Undistributed Budget","512117"
"20000000","ACA00001","24","proposed","Bond Financing","C400881","Stormwater","Drainage Projects","Undistributed Budget","512117"
"83381689","AID00005","24","proposed","Bond Financing","C400881","Transportation","Resurfacing of City Streets","Undistributed Budget","512117"
"500000","ABP00001","24","proposed","Sewer Funds","C700008","Public Utilities","Pump Station Restorations","Undistributed Budget","512117"
"115000","ABT00001","24","proposed","Sewer Funds","C700008","General Services","City Facilities Improvements","Undistributed Budget","512117"
"48675107","AJA00001","24","proposed","Sewer Funds","C700008","Public Utilities","Sewer Main Replacements","Undistributed Budget","512117"
"4569352","AJA00002","24","proposed","Sewer Funds","C700008","Public Utilities","Pipeline Rehabilitation","Undistributed Budget","512117"
"377431","ATT00002","24","proposed","Sewer Funds","C700008","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"1768000","L22000","24","proposed","Sewer Funds","C700008","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"6000000","S15020","24","proposed","Sewer Funds","C700008","Public Utilities","Tecolote Canyon Trunk Sewer Improvement","Undistributed Budget","512117"
"17700000","S18006","24","proposed","Sewer Funds","C700008","Public Utilities","Harbor Drive Trunk Sewer","Undistributed Budget","512117"
"350000","S20000","24","proposed","Sewer Funds","C700008","Public Utilities","Kearny Mesa Trunk Sewer","Undistributed Budget","512117"
"10000000","S22014","24","proposed","Sewer Funds","C700008","Public Utilities","Murphy Canyon Trunk Sewer Repair/Rehab","Undistributed Budget","512117"
"6138127","ABO00001","24","proposed","Sewer Funds","C700009","Public Utilities","Metro Treatment Plants","Undistributed Budget","512117"
"2538000","ABP00002","24","proposed","Sewer Funds","C700009","Public Utilities","Metropolitan System Pump Stations","Undistributed Budget","512117"
"35000","ABT00001","24","proposed","Sewer Funds","C700009","General Services","City Facilities Improvements","Undistributed Budget","512117"
"10000000","ALA00001","24","proposed","Sewer Funds","C700009","Public Utilities","PURE Water Program","Undistributed Budget","512117"
"4000000","ALA00002","24","proposed","Sewer Funds","C700009","Public Utilities","Pure Water Phase 2","Undistributed Budget","512117"
"4993313","ATT00002","24","proposed","Sewer Funds","C700009","Department of Information Technology","Enterprise Funded IT Projects","Undistributed Budget","512117"
"2978000","L22000","24","proposed","Sewer Funds","C700009","Public Utilities","Alvarado Laboratory Improvements","Undistributed Budget","512117"
"9100349","P19002","24","proposed","Sewer Funds","C700009","Public Utilities","Pure Water Pooled Contingency","Undistributed Budget","512117"
"1184265","S17012","24","proposed","Sewer Funds","C700009","Public Utilities","NCWRP Improvements to 30 mgd","Undistributed Budget","512117"
"1989150","S17013","24","proposed","Sewer Funds","C700009","Public Utilities","MBC Equipment Upgrades","Undistributed Budget","512117"
"400000","S21003","24","proposed","Sewer Funds","C700009","Public Utilities","Enviro Monitoring Tech Svcs Div Lab Remodel at NTC","Undistributed Budget","512117"
"3000000","S22001","24","proposed","Sewer Funds","C700009","Public Utilities","North/South Metro Interceptors Rehabilitation","Undistributed Budget","512117"
"2300000","ABI00001","24","proposed","Water Fund","C700010","Public Utilities","Water Treatment Plants","Undistributed Budget","512117"
"1847407","ABL00001","24","proposed","Water Fund","C700010","Public Utilities","Standpipe and Reservoir Rehabilitations","Undistributed Budget","512117"
